hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies
Resort Hotel,1,44,2016,May,19,6,2,3,2,0,0
Resort Hotel,1,54,2016,May,20,13,0,1,2,0,0
Resort Hotel,1,46,2016,May,22,22,1,0,1,0,0
Resort Hotel,1,18,2016,May,22,27,0,2,2,2,0
Resort Hotel,1,18,2016,May,22,27,0,2,2,2,0
Resort Hotel,0,0,2016,May,19,1,1,0,2,0,0
Resort Hotel,0,13,2016,May,19,1,2,0,2,0,0
Resort Hotel,0,67,2016,May,19,6,2,4,2,0,0
Resort Hotel,0,77,2016,May,20,10,0,5,2,0,0
Resort Hotel,0,68,2016,May,21,20,1,2,2,0,0
Resort Hotel,0,129,2016,May,22,22,2,1,2,0,0
Resort Hotel,0,40,2016,May,22,23,1,1,2,0,0
Resort Hotel,0,129,2016,May,22,22,2,1,2,0,0
Resort Hotel,0,49,2016,May,22,25,0,1,2,0,0
Resort Hotel,0,49,2016,May,22,25,0,1,2,0,0
Resort Hotel,0,39,2016,May,22,28,1,1,2,0,0
Resort Hotel,0,5,2016,May,22,28,1,1,2,2,0
Resort Hotel,0,136,2016,May,23,29,2,0,2,0,0
Resort Hotel,0,59,2016,May,23,29,2,0,3,0,0
Resort Hotel,0,65,2016,May,23,30,1,1,2,0,0
City Hotel,1,38,2016,May,19,7,1,1,2,0,0
City Hotel,1,49,2016,May,19,7,2,5,2,0,0
City Hotel,1,68,2016,May,19,7,2,4,2,1,0
City Hotel,1,65,2016,May,20,9,1,3,1,0,0
City Hotel,1,38,2016,May,20,10,0,3,3,0,0
City Hotel,1,130,2016,May,20,12,1,3,2,0,0
City Hotel,1,39,2016,May,20,12,1,3,2,0,0
City Hotel,0,129,2016,May,20,13,1,2,1,0,0
City Hotel,1,116,2016,May,21,18,0,1,2,0,0
City Hotel,1,81,2016,May,21,19,0,1,2,0,0
City Hotel,1,29,2016,May,21,20,2,3,2,0,0
City Hotel,1,23,2016,May,21,21,1,1,1,0,0
City Hotel,1,76,2016,May,22,22,1,0,2,0,0
City Hotel,0,169,2016,May,22,25,0,4,2,0,0
City Hotel,0,169,2016,May,22,25,0,4,2,0,0
City Hotel,1,144,2016,May,22,27,2,2,2,0,0
City Hotel,1,144,2016,May,22,27,2,2,2,2,0
City Hotel,1,144,2016,May,22,27,2,2,2,2,0
City Hotel,0,4,2016,May,19,1,1,0,1,0,0
City Hotel,0,102,2016,May,19,1,2,2,1,0,0
City Hotel,0,1,2016,May,19,6,0,2,2,0,0
City Hotel,0,95,2016,May,19,6,1,2,2,0,0
City Hotel,0,1,2016,May,20,8,1,0,2,0,0
City Hotel,0,1,2016,May,20,8,1,0,2,0,0
City Hotel,0,0,2016,May,20,10,0,1,3,0,0
City Hotel,0,0,2016,May,20,9,1,1,3,0,0
City Hotel,0,24,2016,May,20,8,2,3,1,0,0
City Hotel,0,24,2016,May,20,8,2,3,1,0,0
City Hotel,0,77,2016,May,20,10,0,4,2,0,0
City Hotel,0,91,2016,May,20,12,0,3,2,0,0
City Hotel,0,73,2016,May,20,14,0,1,2,0,0
City Hotel,0,196,2016,May,20,12,1,3,2,0,0
City Hotel,0,196,2016,May,20,12,1,3,2,0,0
City Hotel,0,196,2016,May,20,12,1,3,2,0,0
City Hotel,0,196,2016,May,20,12,1,3,2,0,0
City Hotel,0,196,2016,May,20,12,1,3,2,0,0
City Hotel,0,5,2016,May,21,16,1,0,2,0,0
City Hotel,0,14,2016,May,21,15,2,0,2,2,0
City Hotel,0,0,2016,May,21,16,1,0,2,0,0
City Hotel,0,53,2016,May,21,17,0,1,2,0,0
City Hotel,0,5,2016,May,21,16,1,2,1,0,0
City Hotel,0,116,2016,May,21,18,0,1,2,0,0
City Hotel,0,4,2016,May,21,15,2,2,1,0,0
City Hotel,0,0,2016,May,21,20,0,0,1,0,0
City Hotel,0,5,2016,May,21,16,1,3,1,0,0
City Hotel,0,31,2016,May,21,15,2,4,1,0,0
City Hotel,0,1,2016,May,21,20,0,1,2,0,0
City Hotel,0,101,2016,May,21,19,0,3,3,0,0
City Hotel,0,23,2016,May,22,22,1,0,2,1,0
City Hotel,0,228,2016,May,22,22,2,0,2,0,0
City Hotel,0,14,2016,May,22,23,1,0,2,0,0
City Hotel,0,9,2016,May,21,21,2,2,2,0,0
City Hotel,0,93,2016,May,22,23,1,2,2,0,0
City Hotel,0,93,2016,May,22,23,1,2,2,0,0
City Hotel,0,8,2016,May,22,25,0,1,2,0,0
City Hotel,0,13,2016,May,22,23,1,2,2,1,0
City Hotel,0,27,2016,May,22,22,2,2,2,0,0
City Hotel,0,87,2016,May,22,27,0,1,1,0,0
City Hotel,0,73,2016,May,22,25,1,4,2,0,0
City Hotel,0,135,2016,May,22,28,2,1,2,0,0
City Hotel,0,18,2016,May,23,29,2,1,1,0,0
City Hotel,0,134,2016,May,23,30,1,1,2,0,0